epoch,mse_stat,check_ghi,check_dhi,check_dni,check_diffuse_fraction,check_consistence,check_overcast_condition,check_maximum_direct_fraction,check_tracker_off,check_loss_physics,total_loss
1,4.900275243610042,8.679685872230156,2.1109408276088852,0.0,0.0,4.498505190306074,0.0,0.1931886995265847,2.15835250452986e-05,15.482341786355075,6.448509396869899
2,3.680215787421611,0.5913864860511373,0.0,0.0,0.0,0.6666584813827802,0.0,0.23330921774384245,8.703290154180619e-05,1.4914412156766723,3.829359912716995
3,3.336353413445166,0.5756779229602126,0.0,0.0,0.0,0.5884454412452561,0.0,0.24752707235782057,7.67260668526255e-05,1.4117271627393542,3.477526135281552
4,3.281148806845325,0.5461360243322017,0.0,0.0,0.0,0.567775250549037,0.0,0.2534112871081509,3.831643696134177e-05,1.3673608765151684,3.41788490237941
5,3.2365233740899777,0.4626537588597895,0.0,0.0,0.0,0.553926715924608,0.0,0.25964793072655445,4.164875767130029e-05,1.27627005231497,3.3641503760014784
6,3.2267935920615924,0.48289524149817065,0.0,0.0,0.0,0.5365158741753728,0.0,0.2594099704916392,5.685161277409097e-05,1.2788779344349026,3.354681390504496
7,3.2118587823954803,0.4714398019088595,0.0,0.0,0.0,0.5452576078692943,0.0,0.26108493813668476,0.0001221535915466395,1.2779044988489308,3.339649240823057
8,3.2078645559397914,0.4482827652549118,0.0,0.0,0.0,0.538075774228534,0.0,0.2609284008558877,0.00012801643400316514,1.2474149596613457,3.3326060581673245
9,3.205337089902027,0.4273861328243044,0.0,0.0,0.0,0.5333227181279308,0.0,0.2615967779283801,0.00016502513632129771,1.222470657444932,3.327584158519971
10,3.1950084926251083,0.41343432606625663,0.0,0.0,0.0,0.5286783870151843,0.0,0.2621549106284929,0.00014996601432464793,1.2044175884622703,3.3154502551796368
11,3.198759341667064,0.43943231171816105,0.0,0.0,0.0,0.5281744080471293,0.0,0.2622283914093086,0.00018842711268108128,1.230023535338598,3.3217616964629126
12,3.1873235857836186,0.4271518663785355,0.0,0.0,0.0,0.527031818702089,0.0,0.26295357204803804,0.00010281226655365198,1.2172400706754063,3.3090475918027384
13,3.186197907606244,0.43631503791684845,0.0,0.0,0.0,0.5239866673946382,0.0,0.2631804263552937,0.00017906231532656018,1.2236611938243585,3.308564015242486
14,3.1843732820659962,0.3884193275961113,0.0,0.0,0.0,0.5186263643180897,0.0,0.26385039406607125,0.00020796264421668034,1.1711040500320902,3.3014836862731842
15,3.1807720160251334,0.407637809442678,0.0,0.0,0.0,0.5183724091185034,0.0,0.263108947960484,0.0001764002387678852,1.1892955685671451,3.2997015730177557
16,3.1701958859005686,0.3908646681409707,0.0,0.0,0.0,0.5173028591013108,0.0,0.26456140908822173,0.00016007018472744507,1.1728890054777312,3.2874847899042425
17,3.169413275749755,0.36610774768680265,0.0,0.0,0.0,0.5097269749796741,0.0,0.26435637906048115,0.00018408963572786032,1.1403751949922276,3.2834507941423072
18,3.1671928004255507,0.3823428744213589,0.0,0.0,0.0,0.5169186084880114,0.0,0.26493019957689984,0.00020153920017546869,1.164393221322411,3.2836321040939427
19,3.1670001170534263,0.4011001610212294,0.0,0.0,0.0,0.5110990306065212,0.0,0.2647005233197725,0.0001962501798371151,1.177095966929333,3.284709716076182
20,3.170840989883247,0.3773170511575007,0.0,0.0,0.0,0.4947174964199627,0.0,0.2644944478809253,0.00023706420021380392,1.1367660634680754,3.284517592249943
21,3.163136477967426,0.36443238537940575,0.0,0.0,0.0,0.5091864845263454,0.0,0.2650912569574888,0.00019431133611971083,1.1389044406747981,3.2770269317036718
22,3.158702429614547,0.39720129733753506,0.0,0.0,0.0,0.5005754156687361,0.0,0.2652223847490957,0.00024348602152686623,1.1632425849134833,3.2750266827278876
23,3.1540067574488635,0.36690442569869375,0.0,0.0,0.0,0.5079191268849451,0.0,0.2654421916807902,0.00018690679986818604,1.1404526515193405,3.2680520265809108
24,3.15150575800905,0.3654824530262902,0.0,0.0,0.0,0.5078491276366703,0.0,0.26604839591521773,0.00023710268400973535,1.1396170823504177,3.2654674686127456
25,3.1498048620037604,0.3272832471161401,0.0,0.0,0.0,0.49001369812201223,0.0,0.26602930301369593,0.0002575656603900442,1.083583813148523,3.25816324382341
26,3.15099429734755,0.3521890814995533,0.0,0.0,0.0,0.48824863111545663,0.0,0.2660511832089689,0.0002472148631799492,1.1067361134659586,3.2616679045198804
27,3.144051161767605,0.3356173255932836,0.0,0.0,0.0,0.488013241889034,0.0,0.2665651802228406,0.00024216605865332857,1.0904379116207474,3.253094957589325
